编号,课件名称,授课人,职务,课时(分),格式,课程简介,制作时间
"GC00A0318065_1807","环境保护督察的实效与典型案例解读（下）","常纪文","国务院发展研究中心资源与环境政策研究所副所长",36,"精品三分屏","本课程是《环境保护督察的实效与典型案例解读》系列课程的第三部分，由国务院发展研究中心资源与环境政策研究所副所长常纪文主讲，主要内容有：二、中央环境保护督察的体制改革；三、中央环保督察典型案例；四、中央环境保护督察发现的共性问题与整改追责；五、中央环境保护督察的整体实效。",2018.6
"GC00I0118115_1811","生态文明建设的共同富裕观和人类福祉观","郭兆晖","中央党校（国家行政学院）经济学教研部副教授",14,"精品三分屏","本课程由中央党校（国家行政学院）经济学教研部副教授郭兆晖主讲，主要内容有：一、良好生态环境是最普惠的民生福祉的共同富裕观；二、共谋全球生态文明建设的人类福祉观。",2018.11
"GC00I0218115_1811","生态文明建设的自然资本观和严密法治观","郭兆晖","中央党校（国家行政学院）经济学教研部副教授",22,"精品三分屏","本课程由中央党校（国家行政学院）经济学教研部副教授郭兆晖主讲，主要内容有：一、绿水青山就是金山银山的自然资本观；二、用最严格制度、最严密法治保护生态环境的严密法治。",2018.11
"GC00A0318105_1811","马克思、恩格斯生态文明思想的当代启示","赵建军","中央党校哲学部教授",20,"精品三分屏","本课程由中央党校哲学部教授赵建军主讲，主要内容包括：一、让生态文明持续健康发展；二、马克思、恩格斯生态文明思想的当代启示。",2018.1
"GC00A0418105_1811","马克思、恩格斯生态文明思想的理论渊源","赵建军","中央党校哲学部教授",22,"精品三分屏","本课程由中央党校哲学部教授赵建军主讲，主要内容包括：一、对黑格尔唯心主义自然观和费尔巴哈形而上学自然观的扬弃；二、对李比希、达尔文生态思想的继承与发展；对马尔萨斯生态观的批判与超越。",2018.1
"GC00A0518105_1811","马克思、恩格斯生态文明思想在中国传承与创新的逻辑必然","赵建军","中央党校哲学部教授",16,"精品三分屏","本课程由中央党校哲学部教授赵建军主讲，主要内容包括：一、中国优秀传统文化奠定了理论基础；二、中国面临诸多环境问题提供了现实动力；三、西方文化面对生态问题无能为力为中国提供了契机。",2018.1
"GC00A0118105_1812","马克思、恩格斯生态文明思想的主要内容","赵建军","中央党校哲学部教授",40,"精品三分屏","本课程由中央党校哲学部教授赵建军主讲，主要内容包括：一、从本体论的高度揭示了人与自然的统一关系；二、实践——人与自然统一的实现方式；人与自然的关系受人与人之间的社会关系制约；提出了以生态化为取向的循环消费和循环经济的理念。",2018.10
"GC00I0218115_1812","美丽中国，生态和谐——新时代生态文明建设","郭兆晖","中央党校（国家行政学院）经济学教研部副教授",40,"精品三分屏","本课程由中央党校（国家行政学院）经济学教研部副教授郭兆晖主讲，主要内容有：一、中国共产党对生态文明的认识与实践不断深化；二、生态文明建设与十九大的“五新”；三、坚持人与自然和谐共生的文明发展观。",2018.11
"GC00I0318115_1812","树立山水林田湖草是生命共同体的综合治理观","郭兆晖","中央党校（国家行政学院）经济学教研部副教授",43,"精品三分屏","本课程由中央党校（国家行政学院）经济学教研部副教授郭兆晖主讲，主要内容有：一、资源性产品；二、可再生能源；三、生态产品；四、可再生生物资源；五、废弃物吸收能力。",2018.11
"GC00N0418115_1812","习近平总书记生态文明思想","李萌","中国社会科学院城市发展与环境研究所副研究员",17,"精品三分屏","本课程由中国社会科学院城市发展与环境研究所副研究员李萌主讲，主要内容有：一、习近平生态文明思想的理论内容；二、习近平生态文明思想的时代价值。",2018.11
"GC00N0518115_1812","习近平总书记生态文明思想的理论渊源","李萌","中国社会科学院城市发展与环境研究所副研究员",22,"精品三分屏","本课程由中国社会科学院城市发展与环境研究所副研究员李萌主讲，主要内容有：一、习近平生态文明思想的理论渊源；二、生态文明建设的战略部署和顶层设计。",2018.11
"GC00N0618115_1812","如何加强环境保护和提高自然灾害防治能力","李萌","中国社会科学院城市发展与环境研究所副研究员",34,"精品三分屏","本课程由中国社会科学院城市发展与环境研究所副研究员李萌主讲，主要内容有：一、目前中国自然灾害防治能力总体水平；二、党和国家高度重视提升自然灾害防治能力和水平；三、建立高效科学的自然灾害防治体系；四、目前制约中国灾害防治能力的短板；五、如何通过国际合作来提高整体的自然灾害防治能力；六、培育环境治理和生态保护市场主体，完善环境管理体制。",2018.11
"GC00N0118115_1901","释放生态红利，实现生态崛起","李萌","中国社会科学院城市发展与环境研究所副研究员",28,"精品三分屏","本课程由中国社会科学院城市发展与环境研究所副研究员李萌主讲，主要内容有：一、什么是生态红利；二、如何释放生态红利。",2018.11
"GC00A0219015_1901","中国环境产业的现状与发展趋势","侯立安","中国工程院院士",26,"精品三分屏","本课程由中国工程院院士侯立安主讲，主要内容包括：一、中国环境产业发展概况；二、国外环境产业可持续发展启示；三、环保产业发展的趋势及对策建议。",2019.1
"NGC00I0119035_1903","绿色“一带一路”与2030年可持续发展议程","郭兆晖","中央党校（国家行政学院）经济学教研部副教授",31,"专家讲授精制视频","本课程由中共中央党校（国家行政学院）经济学教研部副教授郭兆晖主讲，主要内容有：一、绿色“一带一路”；二、绿色“一带一路”有利于2030年可持续发展议程的实现；三、关于推进绿色“一带一路”建设的指导意见。",2019.3
"NGC00I0219035_1903","推动落实《2030年可持续发展议程》","郭兆晖","中央党校（国家行政学院）经济学教研部副教授",29,"专家讲授精制视频","本课程由中共中央党校（国家行政学院）经济学教研部副教授郭兆晖主讲，主要内容有：一、什么是《2030年可持续发展议程》；二、落实2030年可持续发展议程中方立场文件；三、中国落实2030年可持续发展议程进展（生态文明建设部分）。",2019.3
"GC00I0119045_1905","学习领会习近平生态文明思想","郭兆晖","中央党校（国家行政学院）社会和生态文明部生态文明建设室副主任、副教授",17,"精品三分屏","本课程由中央党校（国家行政学院）社会和生态文明部生态文明建设室副主任郭兆晖副教授主讲，主要内容有：一、习近平生态文明思想的形成过程；二、习近平生态文明思想的主要内容。",2019.4

"GC00I0219045_1905","坚决打好污染防治攻坚战","郭兆晖","中央党校（国家行政学院）社会和生态文明部生态文明建设室副主任、副教授",37,"精品三分屏","本课程由中央党校（国家行政学院）社会和生态文明部生态文明建设室副主任郭兆晖副教授主讲，主要内容有：一、污染防治攻坚战面临的形势；二、完成污染防治攻坚战各项任务。",2019.4

"NGC00I0119075_1908","习近平总书记生态文明建设思想（上）","郝栋","中共中央党校（国家行政学院）哲学部副教授",29,"专家讲授精制视频","本课程是《习近平总书记生态文明建设思想》系列课程的上半部分，由中共中央党校（国家行政学院）哲学部副教授郝栋主讲，主要阐述了习近平生态文明建设思想的时代背景。",2019.7
"NGC00I0219075_1908","习近平总书记生态文明建设思想（下）","郝栋","中共中央党校（国家行政学院）哲学部副教授",25,"专家讲授精制视频","本课程是《习近平总书记生态文明建设思想》系列课程的下半部分，由中共中央党校（国家行政学院）哲学部副教授郝栋主讲，主要阐述了习近平生态文明思想的核心内容、习近平生态文明思想的实践路径。",2019.7
"GC00N0119085_1909","中国环境保护政策的变迁与成效（上）","田慧芳","中国社会科学院世界经济与政治研究所世界能源研究室副主任",27,"精品三分屏","本课程是《中国环境保护政策的变迁与成效》系列课程的上部，由中国社会科学院世界经济与政治研究所世界能源研究室副主任田慧芳主讲，主要内容包括：一、环境保护的意义；二、中国环境保护政策与机制变迁。",2019.8
"GC00N0219085_1909","中国环境保护政策的变迁与成效（下）","田慧芳","中国社会科学院世界经济与政治研究所世界能源研究室副主任",33,"精品三分屏","本课程是《中国环境保护政策的变迁与成效》系列课程的下部，由中国社会科学院世界经济与政治研究所世界能源研究室副主任田慧芳主讲，围绕着“中国环境保护政策与机制变迁”这一话题，主要讲述了以下内容：顶层设计变迁；环保政策演化；“十三五”环境规划。",2019.8
"GC00I0119115_1912","守护碧水蓝天，坚决打好污染防治攻坚战（上）","李雪峰","中共中央党校（国家行政学院）应急管理教研部教授、博士生导师",33,"精品三分屏","本课程是《守护碧水蓝天，坚决打好污染防治攻坚战》系列课程的上半部分，由中共中央党校（国家行政学院）应急管理教研部教授、博士生导师李雪峰主讲，主要内容有：一、习近平总书记生态文明思想；二、污染防治的挑战、目标与原则。",2019.11
"GC00I0219115_1912","守护碧水蓝天，坚决打好污染防治攻坚战（下）","李雪峰","中共中央党校（国家行政学院）应急管理教研部教授、博士生导师",27,"精品三分屏","本课程是《守护碧水蓝天，坚决打好污染防治攻坚战》系列课程的下半部分，由中共中央党校（国家行政学院）应急管理教研部教授、博士生导师李雪峰主讲，主要内容有：三、推动形成绿色发展方式和生活方式；四、打好污染防治三大保卫战；五、改革完善生态环境治理体系。",2019.11
"GC00I0120015_2002","推进生态文明，建设美丽中国——学习贯彻习近平生态文明思想（上）","石国亮","首都师范大学马克思主义学院教授、博士生导师",27,"精品三分屏","本课程是《推进生态文明，建设美丽中国——学习贯彻习近平生态文明思想》系列课程的上半部分，由首都师范大学马克思主义学院教授、博士生导师石国亮主讲，围绕深入贯彻习近平生态文明思想这一话题，重点阐述了以下内容：习近平生态文明思想概念的提出；习近平生态文明思想的形成；习近平生态文明思想的丰富内涵。",2020.1
"GC00I0220015_2002","推进生态文明，建设美丽中国——学习贯彻习近平生态文明思想（下）","石国亮","首都师范大学马克思主义学院教授、博士生导师",25,"精品三分屏","本课程是《推进生态文明，建设美丽中国——学习贯彻习近平生态文明思想》系列课程的下半部分，由首都师范大学马克思主义学院教授、博士生导师石国亮主讲，主要内容有：深入贯彻习近平生态文明思想；准确把握我国生态文明建设的新形势；充分认识我国生态文明建设目标的艰巨性；扎实做好生态文明、美国中国建设的重点任务；担负起生态文明建设的政治责任。",2020.1
"NGC00I0120045_2004","贯彻习近平生态文明思想，坚决打好污染防治攻坚战（上）","郭兆晖","中共中央党校（国家行政学院）社会和生态文明部教研室副主任、副教授",30,"精品三分屏","本课程是《贯彻习近平生态文明思想，坚决打好污染防治攻坚战》系列课程的上半部分，由中央党校（国家行政学院）社会和生态文明部教研室副主任、副教授郭兆晖主讲，主要内容有：一、打好污染防治攻坚战的思想指导；二、污染防治攻坚战的总体进展与形势；三、打好污染防治攻坚战的主要做法和经验。",2020.4
"NGC00I0220045_2004","贯彻习近平生态文明思想，坚决打好污染防治攻坚战（下）","郭兆晖","中共中央党校（国家行政学院）社会和生态文明部教研室副主任、副教授",30,"精品三分屏","本课程是《贯彻习近平生态文明思想，坚决打好污染防治攻坚战》系列课程的下半部分，由中央党校（国家行政学院）社会和生态文明部教研室副主任、副教授郭兆晖主讲，主要内容有：三、打好污染防治攻坚战的主要做法和经验；四、打好污染防治攻坚战的总体思路和具体举措；五、统筹推进新冠肺炎防治和污染防治攻坚战。",2020.4
"HGC00I0120115_2012","生态文明建设重点与绿色发展机会（上）","王小广","中央党校（国家行政学院）经济学部副主任、教授",28,"精品三分屏","本课程是《生态文明建设重点与绿色发展机会》系列课程的上半部分，由中央党校（国家行政学院）经济学部副主任王小广教授主讲，围绕“生态文明建设的重点”这一话题，重点讲述了以下内容：生态学及生态系统思想是人类认识世界的一次飞跃；全面发展的重要瓶颈；基于生态文明建设的绿色发展理念构成国家新发展理念的五个重点组成部分之一；绿色发展是新时代实现高质量发展的重要基础。",2020.11
"HGC00I0220115_2012","生态文明建设重点与绿色发展机会（下）","王小广","中央党校（国家行政学院）经济学部副主任、教授",34,"精品三分屏","本课程是《生态文明建设重点与绿色发展机会》系列课程的下半部分，由中央党校（国家行政学院）经济学部副主任王小广教授主讲，重点讲述了以下内容：加快推进生态文明建设的重点；绿色发展的重要机会。",2020.11
"HGC00I0121015_2102","生态：绿色新发展，共生新和谐（上）","王茹","中共中央党校（国家行政学院）社会和生态文明教研室副教授",35,"精品三分屏","本课程是《生态：绿色新发展，共生新和谐》系列课程的上半部分，由中共中央党校（国家行政学院）社会和生态文明教研室副教授王茹主讲，主要内容有：一、深刻认识推动绿色发展的时代意义；二、“十四五”时期生态文明建设的目标和任务。",2021.01
"HGC00I0221015_2102","生态：绿色新发展，共生新和谐（下）","王茹","中共中央党校（国家行政学院）社会和生态文明教研室副教授",29,"精品三分屏","本课程是《生态：绿色新发展，共生新和谐》系列课程的下半部分，由中共中央党校（国家行政学院）社会和生态文明教研室副教授王茹主讲，主要内容有：二、“十四五”时期生态文明建设的目标和任务；三、以系统观念构建生态文明体系。",2021.01
"HGC00A0121031_2104","“无废城市”试点初步进展","陈瑛","生态环境部固废与化学品管理中心固废管理技术部主任",20,"精品三分屏","本课程由生态环境部固废与化学品管理中心固废管理技术部主任陈瑛主讲，主要内容有：一、“无废城市”试点建设；二、“无废城市”试点初步成效；三、推进“无废城市”建设的下一步工作计划。",2021.3
"HGC00A0221031_2104","“双循环”背景下城市固废治理面临的挑战——以塑料废物为例","何品晶","同济大学环境科学与工程学院教授",25,"精品三分屏","本课程由同济大学环境科学与工程学院教授何品晶主讲，主要内容有：一、回溯城市固废管理历史；二、塑料废物管理的相关政策；三、塑料废物的问题究竟是什么？四、合规的无害化处理处置措施是否能杜绝微塑料？五、微塑料是个局地问题吗？",2021.3
"HGC00I0121065_2106","大力推进低碳发展，实现碳达峰碳中和的目标（上）","郭兆晖","中央党校（国家行政学院）社会和生态文明教研部副主任、副教授",35,"精品三分屏","本课程是《大力推进低碳发展，实现碳达峰碳中和的目标》系列课程的上半部分，由中央党校（国家行政学院）社会和生态文明教研部副主任郭兆晖副教授主讲，主要内容有：一、党中央对碳达峰、碳中和工作高度重视；二、碳达峰、碳中和的内涵与重要作用。",2021.6
"HGC00I0221065_2106","大力推进低碳发展，实现碳达峰碳中和的目标（下）","郭兆晖","中央党校（国家行政学院）社会和生态文明教研部副主任、副教授",48,"精品三分屏","本课程是《大力推进低碳发展，实现碳达峰碳中和的目标》系列课程的下半部分，由中央党校（国家行政学院）社会和生态文明教研部副主任郭兆晖副教授主讲，围绕“实现碳达峰、碳中和的路径对策”这一话题，重点阐述了以下内容：优化经济结构；重构能源体系；发展碳市场；推进碳创新；抵御碳泄露。",2021.6
"HGC00I0121115_2111","生态文明建设之道——恩格斯《自然辩证法》解读（上）","杨磊","中国矿业大学（北京）马克思主义学院讲师、博士",29,"精品三分屏","本课程是生态文明建设之道——恩格斯《自然辩证法》解读系列课程的第一部分，由中国矿业大学（北京）马克思主义学院讲师、博士杨磊主讲，主要内容有：一、恩格斯的生平事迹；二、对《自然辩证法》的文本介绍；三、《自然辩证法》中的生态思想。",2021.11
"HGC00I0221115_2111","生态文明建设之道——恩格斯《自然辩证法》解读（中）","杨磊","中国矿业大学（北京）马克思主义学院讲师、博士",40,"精品三分屏","本课程是生态文明建设之道——恩格斯《自然辩证法》解读系列课程的第二部分，由中国矿业大学（北京）马克思主义学院讲师、博士杨磊主讲，主要内容有：三、《自然辩证法》中的生态思想；四、恩格斯生态思想的当代启示。",2021.11
"HGC00I0321115_2111","生态文明建设之道——恩格斯《自然辩证法》解读（下）","杨磊","中国矿业大学（北京）马克思主义学院讲师、博士",31,"精品三分屏","本课程是生态文明建设之道——恩格斯《自然辩证法》解读系列课程的第三部分，由中国矿业大学（北京）马克思主义学院讲师、博士杨磊主讲，主要内容有：四、恩格斯生态思想的当代启示。",2021.11
"HGC00I0121125_2201","以生态文明统筹黄河流域生态保护和高质量发展（一）","王灵恩","中国科学院地理科学与资源研究所副研究员",34,"精品三分屏","本课程是《以生态文明统筹黄河流域生态保护和高质量发展》系列课程的第一部分，由中国科学院地理科学与资源研究所副研究员王灵恩主讲，主要内容有：新时代的国际形势；新时代的国内形势。",2021.12
"HGC00I0221125_2201","以生态文明统筹黄河流域生态保护和高质量发展（二）","王灵恩","中国科学院地理科学与资源研究所副研究员",30,"精品三分屏","本课程是《以生态文明统筹黄河流域生态保护和高质量发展》系列课程的第二部分，由中国科学院地理科学与资源研究所副研究员王灵恩主讲，主要内容有：新时代我国面临的新形势；生态文明战略的时代背景。",2021.12
"HGC00I0321125_2201","以生态文明统筹黄河流域生态保护和高质量发展（三）","王灵恩","中国科学院地理科学与资源研究所副研究员",27,"精品三分屏","本课程是《以生态文明统筹黄河流域生态保护和高质量发展》系列课程的第三部分，由中国科学院地理科学与资源研究所副研究员王灵恩主讲，主要内容有：黄河流域生态保护和高质量发展战略的提出与进展；黄河流域生态保护和高质量发展战略的实施重点。",2021.12
"HGC00I0421125_2201","以生态文明统筹黄河流域生态保护和高质量发展（四）","王灵恩","中国科学院地理科学与资源研究所副研究员",35,"精品三分屏","本课程是《以生态文明统筹黄河流域生态保护和高质量发展》系列课程的第四部分，由中国科学院地理科学与资源研究所副研究员王灵恩主讲，主要内容有：黄河流域生态保护和高质量发展战略的实施重点；黄河国家文化公园的建设。",2021.12
"HGC00I0122025_2203","我国实现“双碳”目标的形势与任务（上）","马爱民","国家应对气候变化战略研究和国际合作中心副主任",39,"精品三分屏","本课程是《我国实现“双碳”目标的形势与任务》系列课程的上半部分，由国家应对气候变化战略研究和国际合作中心副主任马爱民主讲，主要内容有：一、我国为什么提出“双碳”目标愿景；二、我国能不能实现“双碳”目标。",2022.2
"HGC00I0222025_2203","我国实现“双碳”目标的形势与任务（下）","马爱民","国家应对气候变化战略研究和国际合作中心副主任",38,"精品三分屏","本课程是《我国实现“双碳”目标的形势与任务》系列课程的下半部分，由国家应对气候变化战略研究和国际合作中心副主任马爱民主讲，主要内容有：二、我国能不能实现“双碳”目标；三、我国要实现什么样的“双碳”目标；四、如何实现“双碳”目标。",2022.2
"HGC00I0322025_2203","“双碳”目标背景下中国应对气候变化的政策与行动（上）","丁辉","生态环境部应对气候变化司综合处处长",25,"精品三分屏","本课程是《“双碳”目标背景下中国应对气候变化的政策与行动》系列课程的上半部分，由生态环境部应对气候变化司综合处处长丁辉主讲，主要内容有：一、碳达峰、碳中和目标解读；二、全球碳达峰、碳中和的进程。",2022.2
"HGC00I0422025_2203","“双碳”目标背景下中国应对气候变化的政策与行动（下）","丁辉","生态环境部应对气候变化司综合处处长",34,"精品三分屏","本课程是《“双碳”目标背景下中国应对气候变化的政策与行动》系列课程的下半部分，由生态环境部应对气候变化司综合处处长丁辉主讲，主要内容有：三、我国应对气候变化的政策与行动；四、重点区域、行业和企业碳达峰行动展望。",2022.2
"NGC00I0122045_2204","全面推行河长制湖长制（上）","刘小勇","水利部发展研究中心河湖长处处长",32,"专家讲授精制视频","本课程是《全面推行河长制湖长制》系列课程的第一部分，由水利部发展研究中心河湖长处处长刘小勇主讲，主要内容是：一、河湖长制工作回顾；二、当前面临形势分析。",2022.4
"NGC00I0222045_2204","全面推行河长制湖长制（中）","刘小勇","水利部发展研究中心河湖长处处长",36,"专家讲授精制视频","本课程是《全面推行河长制湖长制》系列课程的第二部分，由水利部发展研究中心河湖长处处长刘小勇主讲，主要内容是：三、下一步工作推进策略。",2022.4
"NGC00I0322045_2204","全面推行河长制湖长制（下）","刘小勇","水利部发展研究中心河湖长处处长",38,"专家讲授精制视频","本课程是《全面推行河长制湖长制》系列课程的第三部分，由水利部发展研究中心河湖长处处长刘小勇主讲，主要内容是：三、下一步工作推进策略。",2022.4
"NGC00N0122065_2207","习近平生态文明思想的形成（上）","杨朝霞","北京林业大学生态法研究中心教授、博导",29,"专家讲授精制视频","本课程是《习近平生态文明思想的形成》系列课程的第一部分，由北京林业大学生态法研究中心教授、博导杨朝霞主讲，主要内容是：人和自然的问题。",2022.6
"NGC00N0222065_2207","习近平生态文明思想的形成（中）","杨朝霞","北京林业大学生态法研究中心教授、博导",27,"专家讲授精制视频","本课程是《习近平生态文明思想的形成》系列课程的第二部分，由北京林业大学生态法研究中心教授、博导杨朝霞主讲，主要内容是：人和自然的问题；环境保护观的提出：开始关注环境安全；可持续发展观的提出：开始关注发展的可持续性。",2022.6
"NGC00N0322065_2207","习近平生态文明思想的形成（下）","杨朝霞","北京林业大学生态法研究中心教授、博导",28,"专家讲授精制视频","本课程是《习近平生态文明思想的形成》系列课程的第三部分，由北京林业大学生态法研究中心教授、博导杨朝霞主讲，主要内容是：生态文明观的提出：开始关注发展的文明性。",2022.6
"NGC00N0422075_2207","国际碳中和的进展与实施路径（一）","田慧芳","中国社会科学院世界经济与政治研究所教授",34,"专家讲授精制视频","本课程是《国际碳中和的进展与实施路径》系列课程的第一部分，由中国社会科学院世界经济与政治研究所教授田慧芳主讲，主要内容有：与碳中和相关的几个概念；全球气候变化问题。",2022.7
"NGC00N0522075_2207","国际碳中和的进展与实施路径（二）","田慧芳","中国社会科学院世界经济与政治研究所教授",38,"专家讲授精制视频","本课程是《国际碳中和的进展与实施路径》系列课程的第二部分，由中国社会科学院世界经济与政治研究所教授田慧芳主讲，主要内容有：应对气候变化的国际机制。",2022.7
"NGC00N0622075_2207","国际碳中和的进展与实施路径（三）","田慧芳","中国社会科学院世界经济与政治研究所教授",35,"专家讲授精制视频","本课程是《国际碳中和的进展与实施路径》系列课程的第三部分，由中国社会科学院世界经济与政治研究所教授田慧芳主讲，主要内容有：应对气候变化的国际机制；疫情前全球气候行动的进展。",2022.7
"NGC00N0722075_2207","国际碳中和的进展与实施路径（四）","田慧芳","中国社会科学院世界经济与政治研究所教授",43,"专家讲授精制视频","本课程是《国际碳中和的进展与实施路径》系列课程的第四部分，由中国社会科学院世界经济与政治研究所教授田慧芳主讲，主要内容有：新冠疫情对全球应对气候变化的影响；碳中和的实施路径。",2022.7
"NGC00N0122085_2209","习近平生态文明思想的主要内容及核心要义（上）","杨朝霞","北京林业大学生态法研究中心教授、博导",33,"专家讲授精制视频","本课程是《习近平生态文明思想的主要内容及核心要义》系列课程的第一部分，由北京林业大学生态法研究中心教授、博导杨朝霞主讲，主要内容有：习近平生态文明思想的科学内涵。",2022.8
